Index,EntryIndex,Timestamp,ServingCellID,NeighborCellID,Neighbor_Avg_RSRP,Neighbor_Avg_RSRQ,Neighbor_Avg_SINR
2,19,80 04:21:33.497,9,2,0,0,7.666666666666667
3,19,80 04:21:33.497,9,8,0,0,1.75
4,19,80 04:21:33.497,9,7,0,0,0
5,19,80 04:21:33.497,9,11,0,0,0
6,19,80 04:21:33.497,9,4,0,0,0
7,19,80 04:21:33.497,9,14,0,0,0.75
8,19,80 04:21:33.497,9,6,0,0,7.666666666666667
9,19,80 04:21:33.497,9,3,0,0,6.5
10,19,80 04:21:33.497,9,13,0,0,2.3333333333333335
11,19,80 04:21:33.497,9,10,0,0,0
12,19,80 04:21:33.497,9,15,0,0,0
1,20,80 04:21:33.497,7,3,0,0,9
2,20,80 04:21:33.497,7,4,0,0,9.25
3,20,80 04:21:33.497,7,6,0,0,0
4,20,80 04:21:33.497,7,8,0,0,0
5,20,80 04:21:33.497,7,5,0,0,0
6,20,80 04:21:33.497,7,11,0,0,0
7,20,80 04:21:33.497,7,14,0,0,0
8,20,80 04:21:33.497,7,2,0,0,0
9,20,80 04:21:33.497,7,15,0,0,4
10,20,80 04:21:33.497,7,12,0,0,0
11,20,80 04:21:33.497,7,10,0,0,0
12,20,80 04:21:33.497,7,13,0,0,0
13,20,80 04:21:33.497,7,9,0,0,0
1,21,80 04:21:33.497,12,4,0,0,36
2,21,80 04:21:33.497,12,2,0,0,2
3,21,80 04:21:33.497,12,10,0,0,0
4,21,80 04:21:33.497,12,11,0,0,0
5,21,80 04:21:33.497,12,7,0,0,0
6,21,80 04:21:33.497,12,9,0,0,0
7,21,80 04:21:33.497,12,6,0,0,0
8,21,80 04:21:33.497,12,13,0,0,0
1,22,80 04:21:33.498,14,6,0,0,10
2,22,80 04:21:33.498,14,9,0,0,7
3,22,80 04:21:33.498,14,10,0,0,0
4,22,80 04:21:33.498,14,2,0,0,0
5,22,80 04:21:33.498,14,5,0,0,0
6,22,80 04:21:33.498,14,7,0,0,0
7,22,80 04:21:33.498,14,11,0,0,0
8,22,80 04:21:33.498,14,15,0,0,0
1,24,80 04:21:33.499,13,5,0,0,20
2,24,80 04:21:33.499,13,8,0,0,2
3,24,80 04:21:33.499,13,6,0,0,0
4,24,80 04:21:33.499,13,9,0,0,0
5,24,80 04:21:33.499,13,3,0,0,0
6,24,80 04:21:33.499,13,7,0,0,0
7,24,80 04:21:33.499,13,10,0,0,0
8,24,80 04:21:33.499,13,11,0,0,0
9,24,80 04:21:33.499,13,14,0,0,0
10,24,80 04:21:33.499,13,2,0,0,0
11,24,80 04:21:33.499,13,15,0,0,0
1,25,80 04:21:33.499,7,4,0,0,5.5
2,25,80 04:21:33.499,7,8,0,0,1.3333333333333333
3,25,80 04:21:33.499,7,9,0,0,0
4,25,80 04:21:33.499,7,14,0,0,0
5,25,80 04:21:33.499,7,2,0,0,0
6,25,80 04:21:33.499,7,5,0,0,0
7,25,80 04:21:33.499,7,3,0,0,5.25
8,25,80 04:21:33.499,7,10,0,0,0
9,25,80 04:21:33.499,7,15,0,0,0
10,25,80 04:21:33.499,7,12,0,0,0
11,25,80 04:21:33.499,7,13,0,0,0
12,25,80 04:21:33.499,7,11,0,0,6
13,25,80 04:21:33.499,7,6,0,0,0
1,26,80 04:21:33.499,13,5,0,0,19.333333333333332
2,26,80 04:21:33.499,13,9,0,0,0
3,26,80 04:21:33.499,13,6,0,0,0
4,26,80 04:21:33.499,13,8,0,0,1.6666666666666667
5,26,80 04:21:33.499,13,3,0,0,0
6,26,80 04:21:33.499,13,7,0,0,0
7,26,80 04:21:33.499,13,11,0,0,0
8,26,80 04:21:33.499,13,10,0,0,0
9,26,80 04:21:33.499,13,2,0,0,0
10,26,80 04:21:33.499,13,15,0,0,0
11,26,80 04:21:33.499,13,14,0,0,0
1,27,80 04:21:33.500,13,5,0,0,16.666666666666668
2,27,80 04:21:33.500,13,6,0,0,1.5
3,27,80 04:21:33.500,13,8,0,0,3
